"F2_word_count":numerical,"F2_char_count":numerical,"F2_distinct_word_count":numerical,"F2_vocab_richness":numerical,"F2_func_word_count_1":numerical,"F2_func_word_count_2":numerical,"F2_func_word_count_3":numerical,"F2_func_word_count_4":numerical,"F2_func_word_count_5":numerical,"F2_func_word_count_6":numerical,"F2_func_word_count_7":numerical,"F2_func_word_count_8":numerical,"F2_func_word_count_9":numerical,"F2_func_word_count_10":numerical,"F2_func_word_count_11":numerical,"F2_func_word_count_12":numerical,"F2_func_word_count_13":numerical,"F2_func_word_count_14":numerical,"F2_func_word_count_15":numerical,"F2_func_word_count_16":numerical,"F2_func_word_count_17":numerical,"F2_func_word_count_18":numerical,"F2_total_function_words_per_word_count":numerical,class:categorical
91,608,72,0.149671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,499,52,0.136273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,483,50,0.136646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,232,33,0.159483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,1351,129,0.178386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,1541,123,0.160286,14,8,0,0,0,0,2,3,0,2,0,1,1,0,0,1,2,0,0.137652,1
151,939,93,0.160809,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0.072848,1
1120,6942,378,0.161337,3,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0.008036,0
38,276,32,0.137681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,487,50,0.135524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,1914,171,0.16092,5,0,0,0,0,1,0,2,0,1,1,0,0,0,0,1,1,0,0.038961,1
59,373,44,0.158177,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.050847,1
26,194,20,0.134021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,216,28,0.166667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027778,1
3132,19871,609,0.157617,8,0,1,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0.006066,0
273,1467,139,0.186094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,1354,124,0.180207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,6942,378,0.161337,3,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0.008036,0
73,461,55,0.158351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013699,0
10,60,10,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,630,91,0.18254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,2670,165,0.100749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.01487,0
66,491,50,0.13442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1756,122,0.09738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,491,49,0.130346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,331,42,0.169184,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.053571,1
256,1714,146,0.149358,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.011719,0
40,251,37,0.159363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,279,36,0.139785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,92,14,0.173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410,15219,450,0.158355,4,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0.005394,0
83,473,53,0.175476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,793,92,0.153846,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.016393,0
1738,12393,423,0.14024,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.004028,0
83,473,53,0.175476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,483,35,0.111801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,507,53,0.134122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
931,6326,265,0.14717,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,2,0,0.009667,1
473,2778,248,0.170266,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.012685,1
10,115,8,0.086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,115,8,0.086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,522,54,0.1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,508,64,0.169291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,483,48,0.134576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,507,54,0.138067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,125,16,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,382,37,0.133508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,774,94,0.162791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,538,56,0.13197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,1219,113,0.162428,9,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0.070707,1
35,247,31,0.1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,912,87,0.161184,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.034014,1
66,487,50,0.135524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,596,74,0.16443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,265,37,0.166038,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068182,1
48,287,38,0.167247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,703,83,0.152205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009346,0
1738,12393,423,0.14024,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.004028,0
83,498,63,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
256,1714,146,0.149358,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.011719,0
35,251,33,0.139442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,279,36,0.139785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,319,34,0.134796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,1555,128,0.155627,11,6,0,0,0,0,2,4,0,1,0,1,1,0,0,1,3,0,0.123967,1
98,596,74,0.16443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,499,52,0.134269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,216,28,0.166667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027778,1
69,522,52,0.132184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
